data_type,movement_number,test_file,node_name,position,src,dst,tx,rx,loss_pct,avg_rtt_ms
ping,0,timeframe0.txt,,,sta1,sta2,1.0,0.0,100.0,0.0
ping,0,timeframe0.txt,,,sta1,sta3,1.0,0.0,100.0,0.0
ping,0,timeframe0.txt,,,sta1,sta4,1.0,0.0,100.0,0.0
ping,0,timeframe0.txt,,,sta1,ap1,1.0,1.0,0.0,0.115
ping,0,timeframe0.txt,,,sta1,ap2,1.0,1.0,0.0,0.058
ping,0,timeframe0.txt,,,sta2,sta1,1.0,0.0,100.0,0.0
ping,0,timeframe0.txt,,,sta2,sta3,1.0,0.0,100.0,0.0
ping,0,timeframe0.txt,,,sta2,sta4,1.0,0.0,100.0,0.0
ping,0,timeframe0.txt,,,sta2,ap1,1.0,1.0,0.0,0.107
ping,0,timeframe0.txt,,,sta2,ap2,1.0,1.0,0.0,0.03
ping,0,timeframe0.txt,,,sta3,sta1,1.0,0.0,100.0,0.0
ping,0,timeframe0.txt,,,sta3,sta2,1.0,0.0,100.0,0.0
ping,0,timeframe0.txt,,,sta3,sta4,1.0,0.0,100.0,0.0
ping,0,timeframe0.txt,,,sta3,ap1,1.0,1.0,0.0,0.081
ping,0,timeframe0.txt,,,sta3,ap2,1.0,1.0,0.0,0.039
ping,0,timeframe0.txt,,,sta4,sta1,1.0,0.0,100.0,0.0
ping,0,timeframe0.txt,,,sta4,sta2,1.0,0.0,100.0,0.0
ping,0,timeframe0.txt,,,sta4,sta3,1.0,0.0,100.0,0.0
ping,0,timeframe0.txt,,,sta4,ap1,1.0,1.0,0.0,0.086
ping,0,timeframe0.txt,,,sta4,ap2,1.0,1.0,0.0,0.032
ping,0,timeframe0.txt,,,ap1,sta1,1.0,0.0,100.0,0.0
ping,0,timeframe0.txt,,,ap1,sta2,1.0,0.0,100.0,0.0
ping,0,timeframe0.txt,,,ap1,sta3,1.0,0.0,100.0,0.0
ping,0,timeframe0.txt,,,ap1,sta4,1.0,0.0,100.0,0.0
ping,0,timeframe0.txt,,,ap1,ap2,1.0,1.0,0.0,0.421
ping,0,timeframe0.txt,,,ap2,sta1,1.0,0.0,100.0,0.0
ping,0,timeframe0.txt,,,ap2,sta2,1.0,0.0,100.0,0.0
ping,0,timeframe0.txt,,,ap2,sta3,1.0,0.0,100.0,0.0
ping,0,timeframe0.txt,,,ap2,sta4,1.0,0.0,100.0,0.0
ping,0,timeframe0.txt,,,ap2,ap1,1.0,1.0,0.0,0.081
